trace,cache_size,block_size,associativity,policy,hit_rate
sequential_pattern.txt,1024,32,2,lru,75.00
sequential_pattern.txt,1024,32,2,fifo,75.00
sequential_pattern.txt,1024,32,2,random,75.00
sequential_pattern.txt,1024,32,4,lru,75.00
sequential_pattern.txt,1024,32,4,fifo,75.00
sequential_pattern.txt,1024,32,4,random,75.00
loop_pattern.txt,1024,32,2,lru,99.40
loop_pattern.txt,1024,32,2,fifo,99.40
loop_pattern.txt,1024,32,2,random,99.40
loop_pattern.txt,1024,32,4,lru,99.40
loop_pattern.txt,1024,32,4,fifo,99.40
loop_pattern.txt,1024,32,4,random,99.40
random_pattern.txt,1024,32,2,lru,0.40
random_pattern.txt,1024,32,2,fifo,0.40
random_pattern.txt,1024,32,2,random,0.40
random_pattern.txt,1024,32,4,lru,0.40
random_pattern.txt,1024,32,4,fifo,0.40
random_pattern.txt,1024,32,4,random,0.20
